Z	A	EL	mass excess	err	B/A	err	est
48	95	Cd	-46631.	401.	8167.	4.	1
35	96	Br	-38163.	298.	8184.	3.	1
36	96	Kr	-53079.678	20.493	8330.851	0.213	0
37	96	Rb	-61354.349	3.353	8408.896	0.035	0
38	96	Sr	-72924.157	8.475	8521.265	0.088	0
39	96	Y	-78335.895	6.088	8569.488	0.063	0
40	96	Zr	-85438.846	0.114	8635.327	0.001	0
41	96	Nb	-85602.816	0.147	8628.886	0.002	0
42	96	Mo	-88794.876	0.120	8653.987	0.001	0
43	96	Tc	-85821.634	5.146	8614.866	0.054	0
44	96	Ru	-86080.372	0.170	8609.412	0.002	0
45	96	Rh	-79687.718	10.001	8534.673	0.104	0
46	96	Pd	-76183.406	4.194	8490.020	0.044	0
47	96	Ag	-64511.636	90.084	8360.290	0.938	0
48	96	Cd	-55573.	401.	8259.	4.	1
49	96	In	-37890.	500.	8067.	5.	1
35	97	Br	-34055.	401.	8140.	4.	1
36	97	Kr	-47423.492	130.409	8269.864	1.344	0
37	97	Rb	-58519.137	1.912	8376.186	0.020	0
38	97	Sr	-68581.454	3.385	8471.856	0.035	0
39	97	Y	-76121.424	6.719	8541.522	0.069	0
40	97	Zr	-82942.661	0.414	8603.779	0.004	0
41	97	Nb	-85605.776	4.249	8623.168	0.044	0
42	97	Mo	-87544.691	0.165	8635.092	0.002	0
43	97	Tc	-87224.424	4.118	8623.725	0.042	0
44	97	Ru	-86120.552	2.763	8604.279	0.028	0
45	97	Rh	-82597.552	35.463	8559.894	0.366	0
46	97	Pd	-77805.843	4.844	8502.430	0.050	0
47	97	Ag	-70825.843	110.107	8422.405	1.135	0
48	97	Cd	-60454.	298.	8307.	3.	1
49	97	In	-47189.	401.	8163.	4.	1
35	98	Br	-28250.	400.	8080.	4.	1
36	98	Kr	-44311.	298.	8236.	3.	1
37	98	Rb	-54369.146	16.083	8330.729	0.164	0
38	98	Sr	-66423.104	3.226	8445.745	0.033	0
39	98	Y	-72294.777	7.929	8497.677	0.081	0
40	98	Zr	-81286.709	8.451	8581.448	0.086	0
41	98	Nb	-83524.598	5.001	8596.301	0.051	0
42	98	Mo	-88115.972	0.174	8635.168	0.002	0
43	98	Tc	-86432.205	3.380	8610.004	0.034	0
44	98	Ru	-88224.858	6.463	8620.313	0.066	0
45	98	Rh	-83175.205	11.906	8560.803	0.121	0
46	98	Pd	-81320.975	4.742	8533.899	0.048	0
47	98	Ag	-73066.415	32.907	8441.686	0.336	0
48	98	Cd	-67636.415	51.797	8378.295	0.529	0
49	98	In	-53896.	298.	8230.	3.	1
36	99	Kr	-38759.	401.	8178.	4.	1
37	99	Rb	-51121.143	4.031	8295.300	0.041	0
38	99	Sr	-62521.401	4.741	8402.552	0.048	0
39	99	Y	-70649.825	6.627	8476.755	0.067	0
40	99	Zr	-77620.617	10.502	8539.264	0.106	0
41	99	Nb	-82335.341	12.004	8578.985	0.121	0
42	99	Mo	-85970.098	0.229	8607.797	0.002	0
43	99	Tc	-87327.862	0.908	8613.610	0.009	0
44	99	Ru	-87625.381	0.344	8608.712	0.003	0
45	99	Rh	-85581.300	6.697	8580.163	0.068	0
46	99	Pd	-82182.651	4.981	8537.930	0.050	0
47	99	Ag	-76712.473	6.265	8474.774	0.063	0
48	99	Cd	-69931.123	1.584	8398.373	0.016	0
49	99	In	-61376.	298.	8304.	3.	1
50	99	Sn	-47944.	503.	8160.	5.	1
36	100	Kr	-35052.	401.	8140.	4.	1
37	100	Rb	-46247.064	19.561	8244.320	0.196	0
38	100	Sr	-59820.903	7.160	8372.234	0.072	0
39	100	Y	-67327.396	11.186	8439.476	0.112	0
40	100	Zr	-76377.437	8.149	8522.153	0.081	0
41	100	Nb	-79797.399	7.986	8548.529	0.080	0
42	100	Mo	-86193.025	0.302	8604.662	0.003	0
43	100	Tc	-86020.945	1.351	8595.118	0.014	0
44	100	Ru	-89227.389	0.343	8619.359	0.003	0
45	100	Rh	-85591.126	18.125	8575.172	0.181	0
46	100	Pd	-85212.778	17.638	8563.566	0.176	0
47	100	Ag	-78137.959	5.000	8484.994	0.050	0
48	100	Cd	-74194.596	1.677	8437.737	0.017	0
49	100	In	-64312.972	182.519	8331.097	1.825	0
50	100	Sn	-57282.972	301.518	8252.974	3.015	0
36	101	Kr	-29128.	503.	8081.	5.	1
37	101	Rb	-42845.	200.	8209.	2.	1
38	101	Sr	-55324.907	8.480	8324.740	0.084	0
39	101	Y	-65061.002	7.092	8413.391	0.070	0
40	101	Zr	-73165.957	8.339	8485.892	0.083	0
41	101	Nb	-78891.491	3.749	8534.835	0.037	0
42	101	Mo	-83519.949	0.309	8572.915	0.003	0
43	101	Tc	-86344.594	24.004	8593.136	0.238	0
44	101	Ru	-87958.114	0.415	8601.365	0.004	0
45	101	Rh	-87412.416	5.841	8588.216	0.058	0
46	101	Pd	-85432.132	4.588	8560.864	0.045	0
47	101	Ag	-81334.374	4.838	8512.546	0.048	0
48	101	Cd	-75836.456	1.490	8450.365	0.015	0
49	101	In	-68614.	196.	8371.	2.	1
50	101	Sn	-60305.626	300.005	8281.102	2.970	0
37	102	Rb	-37707.	298.	8157.	3.	1
38	102	Sr	-52159.304	67.068	8291.220	0.658	0
39	102	Y	-61173.177	4.077	8371.922	0.040	0
40	102	Zr	-71587.707	8.767	8466.355	0.086	0
41	102	Nb	-76304.544	2.545	8504.928	0.025	0
42	102	Mo	-83566.061	8.312	8568.450	0.081	0
43	102	Tc	-84572.878	9.166	8570.650	0.090	0
44	102	Ru	-89106.437	0.418	8607.427	0.004	0
45	102	Rh	-86783.318	6.410	8576.981	0.063	0
46	102	Pd	-87903.171	0.554	8580.290	0.005	0
47	102	Ag	-82246.691	8.171	8517.164	0.080	0
48	102	Cd	-79659.691	1.662	8484.131	0.016	0
49	102	In	-70694.884	4.573	8388.571	0.045	0
50	102	Sn	-64934.884	100.105	8324.430	0.981	0
37	103	Rb	-33608.	401.	8117.	4.	1
38	103	Sr	-47422.	196.	8243.	2.	1
39	103	Y	-58457.575	11.204	8342.638	0.109	0
40	103	Zr	-67815.334	9.232	8425.895	0.090	0
41	103	Nb	-75028.671	3.935	8488.331	0.038	0
42	103	Mo	-80960.670	9.232	8538.328	0.090	0
43	103	Tc	-84603.867	9.810	8566.103	0.095	0
44	103	Ru	-87267.171	0.443	8584.365	0.004	0
45	103	Rh	-88031.708	2.301	8584.192	0.022	0
46	103	Pd	-87457.189	0.950	8571.019	0.009	0
47	103	Ag	-84802.692	4.099	8537.651	0.040	0
48	103	Cd	-80651.616	1.811	8489.754	0.018	0
49	103	In	-74632.591	9.625	8423.721	0.093	0
50	103	Sn	-66972.591	70.659	8341.757	0.686	0
51	103	Sb	-56178.	298.	8229.	3.	1
38	104	Sr	-44106.	298.	8210.	3.	1
39	104	Y	-54064.	401.	8298.	4.	1
40	104	Zr	-65724.060	9.325	8402.377	0.090	0
41	104	Nb	-71819.012	2.737	8453.459	0.026	0
42	104	Mo	-80349.968	8.921	8527.965	0.086	0
43	104	Tc	-82503.444	24.888	8541.149	0.239	0
44	104	Ru	-88095.710	2.498	8587.399	0.024	0
45	104	Rh	-86959.348	2.303	8568.949	0.022	0
46	104	Pd	-89395.105	1.336	8584.848	0.013	0
47	104	Ag	-85116.452	4.217	8536.184	0.041	0
48	104	Cd	-83968.380	1.673	8517.622	0.016	0
49	104	In	-76182.665	5.775	8435.237	0.056	0
50	104	Sn	-71627.047	5.745	8383.911	0.055	0
51	104	Sb	-59173.620	122.444	8256.644	1.177	0
38	105	Sr	-38610.	503.	8156.	5.	1
39	105	Y	-51270.361	1336.694	8269.020	12.730	0
40	105	Zr	-61464.734	12.118	8358.659	0.115	0
41	105	Nb	-69915.551	4.028	8431.692	0.038	0
42	105	Mo	-77337.141	9.065	8494.923	0.086	0
43	105	Tc	-82290.088	35.264	8534.643	0.336	0
44	105	Ru	-85934.490	2.499	8561.900	0.024	0
45	105	Rh	-87851.243	2.502	8572.704	0.024	0
46	105	Pd	-88417.888	1.138	8570.650	0.011	0
47	105	Ag	-87070.836	4.544	8550.370	0.043	0
48	105	Cd	-84333.839	1.392	8516.852	0.013	0
49	105	In	-79640.572	10.246	8464.704	0.098	0
50	105	Sn	-73337.992	3.971	8397.228	0.038	0
51	105	Sb	-64015.482	21.827	8300.992	0.208	0
52	105	Te	-52811.510	300.020	8186.836	2.857	0
38	106	Sr	-34790.	600.	8119.	6.	1
39	106	Y	-46053.	503.	8218.	5.	1
40	106	Zr	-58549.987	433.145	8328.450	4.086	0
41	106	Nb	-66203.357	4.122	8393.271	0.039	0
42	106	Mo	-76134.528	9.140	8479.581	0.086	0
43	106	Tc	-79776.223	12.250	8506.556	0.116	0
44	106	Ru	-86323.223	5.391	8560.940	0.051	0
45	106	Rh	-86362.627	5.390	8553.931	0.051	0
46	106	Pd	-89907.527	1.106	8579.992	0.010	0
47	106	Ag	-86942.383	3.016	8544.639	0.028	0
48	106	Cd	-87132.138	1.104	8539.048	0.010	0
49	106	In	-80608.134	12.226	8470.120	0.115	0
50	106	Sn	-77353.687	5.091	8432.038	0.048	0
51	106	Sb	-66473.292	7.452	8322.012	0.070	0
52	106	Te	-58219.748	100.541	8236.767	0.948	0
38	107	Sr	-28900.	700.	8064.	7.	1
39	107	Y	-42364.	503.	8182.	5.	1
40	107	Zr	-54379.688	1122.450	8287.073	10.490	0
41	107	Nb	-63723.810	8.023	8367.089	0.075	0
42	107	Mo	-72551.560	9.233	8442.280	0.086	0
43	107	Tc	-78749.914	8.673	8492.897	0.081	0
44	107	Ru	-83862.512	8.673	8533.366	0.081	0
45	107	Rh	-86863.703	12.051	8554.103	0.113	0
46	107	Pd	-88372.639	1.201	8560.894	0.011	0
47	107	Ag	-88406.670	2.382	8553.900	0.022	0
48	107	Cd	-86990.261	1.665	8533.351	0.016	0
49	107	In	-83564.261	11.125	8494.021	0.104	0
50	107	Sn	-78512.228	5.310	8439.494	0.050	0
51	107	Sb	-70653.239	4.148	8358.734	0.039	0
52	107	Te	-60539.326	70.830	8256.899	0.662	0
53	107	I	-49430.	300.	8146.	3.	1
39	108	Y	-37297.	596.	8134.	6.	1
40	108	Zr	-51353.	401.	8257.	4.	1
41	108	Nb	-59545.765	8.237	8325.665	0.076	0
42	108	Mo	-70755.942	9.233	8422.219	0.085	0
43	108	Tc	-75922.778	8.769	8462.816	0.081	0
44	108	Ru	-83661.350	8.680	8527.225	0.080	0
45	108	Rh	-85031.721	13.996	8532.670	0.130	0
46	108	Pd	-89524.206	1.108	8567.023	0.010	0
47	108	Ag	-87606.763	2.388	8542.025	0.022	0
48	108	Cd	-89252.414	1.123	8550.019	0.010	0
49	108	In	-84119.819	8.641	8495.251	0.080	0
50	108	Sn	-82069.938	5.382	8469.027	0.050	0
51	108	Sb	-72445.331	5.496	8372.666	0.051	0
52	108	Te	-65781.667	5.411	8303.721	0.050	0
53	108	I	-52649.605	132.260	8174.884	1.225	0
39	109	Y	-33200.	700.	8096.	6.	1
40	109	Zr	-46193.	503.	8208.	5.	1
41	109	Nb	-56689.794	258.490	8297.130	2.371	0
42	109	Mo	-66665.996	11.188	8381.477	0.103	0
43	109	Tc	-74282.775	9.669	8444.178	0.089	0
44	109	Ru	-80738.401	8.954	8496.227	0.082	0
45	109	Rh	-84999.455	4.039	8528.142	0.037	0
46	109	Pd	-87606.476	1.114	8544.882	0.010	0
47	109	Ag	-88719.426	1.287	8547.915	0.012	0
48	109	Cd	-88504.321	1.536	8538.764	0.014	0
49	109	In	-86489.511	3.969	8513.102	0.036	0
50	109	Sn	-82630.184	7.949	8470.518	0.073	0
51	109	Sb	-76250.977	5.265	8404.815	0.048	0
52	109	Te	-67715.390	4.382	8319.330	0.040	0
53	109	I	-57672.496	6.729	8220.016	0.062	0
54	109	Xe	-46169.548	300.108	8107.306	2.753	0
40	110	Zr	-42886.	596.	8177.	5.	1
41	110	Nb	-52309.909	838.345	8255.260	7.621	0
42	110	Mo	-64542.585	24.223	8359.354	0.220	0
43	110	Tc	-71034.510	9.497	8411.259	0.086	0
44	110	Ru	-80072.576	8.924	8486.311	0.081	0
45	110	Rh	-82828.686	17.805	8504.254	0.162	0
46	110	Pd	-88330.905	0.612	8547.162	0.006	0
47	110	Ag	-87457.302	1.286	8532.108	0.012	0
48	110	Cd	-90347.969	0.380	8551.275	0.003	0
49	110	In	-86469.969	11.553	8508.908	0.105	0
50	110	Sn	-85841.983	13.777	8496.087	0.125	0
51	110	Sb	-77449.734	5.962	8412.681	0.054	0
52	110	Te	-72229.811	6.575	8358.115	0.060	0
53	110	I	-60464.176	50.552	8244.043	0.460	0
54	110	Xe	-51922.625	100.988	8159.280	0.918	0
40	111	Zr	-37560.	700.	8128.	6.	1
41	111	Nb	-48875.	298.	8223.	3.	1
42	111	Mo	-59939.761	12.578	8315.292	0.113	0
43	111	Tc	-69024.622	10.581	8390.089	0.095	0
44	111	Ru	-76785.271	9.682	8452.957	0.087	0
45	111	Rh	-82304.452	6.850	8495.631	0.062	0
46	111	Pd	-85985.888	0.731	8521.749	0.007	0
47	111	Ag	-88215.447	1.459	8534.787	0.013	0
48	111	Cd	-89252.247	0.357	8537.079	0.003	0
49	111	In	-88392.043	3.424	8522.282	0.031	0
50	111	Sn	-85938.587	5.336	8493.130	0.048	0
51	111	Sb	-80836.736	8.849	8440.120	0.080	0
52	111	Te	-73587.477	6.427	8367.763	0.058	0
53	111	I	-64953.785	4.754	8282.934	0.043	0
54	111	Xe	-54395.534	86.700	8180.766	0.781	0
55	111	Cs	-42821.	196.	8069.	2.	1
40	112	Zr	-33810.	700.	8094.	6.	1
41	112	Nb	-44274.	298.	8180.	3.	1
42	112	Mo	-57464.	196.	8291.	2.	1
43	112	Tc	-65258.938	5.515	8353.621	0.049	0
44	112	Ru	-75630.818	9.599	8439.242	0.086	0
45	112	Rh	-79731.503	44.085	8468.870	0.394	0
46	112	Pd	-86321.562	6.544	8520.724	0.058	0
47	112	Ag	-86583.718	2.422	8516.080	0.022	0
48	112	Cd	-90574.859	0.250	8544.730	0.002	0
49	112	In	-87990.131	4.251	8514.667	0.038	0
50	112	Sn	-88655.056	0.294	8513.618	0.003	0
51	112	Sb	-81598.965	17.829	8443.632	0.159	0
52	112	Te	-77567.508	8.383	8400.652	0.075	0
53	112	I	-67063.330	10.246	8299.879	0.091	0
54	112	Xe	-60026.338	8.283	8230.064	0.074	0
55	112	Cs	-46290.277	86.796	8100.435	0.775	0
41	113	Nb	-40511.	401.	8146.	4.	1
42	113	Mo	-52490.	300.	8245.	3.	1
43	113	Tc	-62811.541	3.353	8329.464	0.030	0
44	113	Ru	-71868.119	36.875	8402.688	0.326	0
45	113	Rh	-78767.536	7.130	8456.821	0.063	0
46	113	Pd	-83591.092	6.945	8492.584	0.061	0
47	113	Ag	-87026.822	16.643	8516.065	0.147	0
48	113	Cd	-89043.284	0.244	8526.987	0.002	0
49	113	In	-89367.117	0.188	8522.929	0.002	0
50	113	Sn	-88328.132	1.575	8506.811	0.014	0
51	113	Sb	-84416.968	17.193	8465.275	0.152	0
52	113	Te	-78347.029	27.945	8404.636	0.247	0
53	113	I	-71119.507	8.011	8333.752	0.071	0
54	113	Xe	-62203.618	6.840	8247.927	0.061	0
55	113	Cs	-51764.530	8.577	8148.622	0.076	0
56	113	Ba	-39784.	298.	8036.	3.	1
41	114	Nb	-35387.	503.	8100.	4.	1
42	114	Mo	-49807.	298.	8220.	3.	1
43	114	Tc	-58600.288	433.145	8290.259	3.800	0
44	114	Ru	-70221.811	3.550	8385.340	0.031	0
45	114	Rh	-75710.625	71.561	8426.624	0.628	0
46	114	Pd	-83490.943	6.945	8488.010	0.061	0
47	114	Ag	-84930.800	4.564	8493.778	0.040	0
48	114	Cd	-90014.932	0.276	8531.513	0.002	0
49	114	In	-88569.801	0.301	8511.973	0.003	0
50	114	Sn	-90559.723	0.029	8522.566	0.000	0
51	114	Sb	-84496.574	21.838	8462.518	0.192	0
52	114	Te	-81888.569	27.945	8432.778	0.245	0
53	114	I	-72796.	149.	8346.	1.	1
54	114	Xe	-67085.890	11.178	8289.205	0.098	0
55	114	Cs	-54682.261	71.102	8173.538	0.624	0
56	114	Ba	-45905.426	102.676	8089.686	0.901	0
41	115	Nb	-31354.	503.	8065.	4.	1
42	115	Mo	-44749.	401.	8175.	3.	1
43	115	Tc	-56319.990	789.441	8268.527	6.865	0
44	115	Ru	-66189.734	88.496	8347.547	0.770	0
45	115	Rh	-74229.831	7.316	8410.658	0.064	0
46	115	Pd	-80426.386	13.546	8457.738	0.118	0
47	115	Ag	-84982.654	18.268	8490.555	0.159	0
48	115	Cd	-88084.479	0.651	8510.724	0.006	0
49	115	In	-89536.346	0.012	8516.546	0.000	0
50	115	Sn	-90033.835	0.015	8514.069	0.000	0
51	115	Sb	-87003.403	16.025	8480.915	0.139	0
52	115	Te	-82062.759	27.945	8431.150	0.243	0
53	115	I	-76337.797	28.876	8374.564	0.251	0
54	115	Xe	-68656.748	12.109	8300.970	0.105	0
55	115	Cs	-59699.	102.	8216.	1.	1
56	115	Ba	-49020.	200.	8117.	2.	1
42	116	Mo	-41500.	500.	8146.	4.	1
43	116	Tc	-51456.	298.	8225.	3.	1
44	116	Ru	-64068.909	3.726	8326.883	0.032	0
45	116	Rh	-70736.122	73.832	8377.615	0.636	0
46	116	Pd	-79831.635	7.132	8449.280	0.061	0
47	116	Ag	-82542.653	3.260	8465.907	0.028	0
48	116	Cd	-88712.480	0.160	8512.350	0.001	0
49	116	In	-88249.749	0.220	8501.617	0.002	0
50	116	Sn	-91525.970	0.096	8523.116	0.001	0
51	116	Sb	-86822.150	5.160	8475.821	0.044	0
52	116	Te	-85268.961	27.945	8455.687	0.241	0
53	116	I	-77492.236	96.592	8381.902	0.833	0
54	116	Xe	-73046.724	13.041	8336.834	0.112	0
55	116	Cs	-62043.	100.	8235.	1.	1
56	116	Ba	-54580.	200.	8164.	2.	1
57	116	La	-40645.	312.	8037.	3.	1
42	117	Mo	-36170.	500.	8100.	4.	1
43	117	Tc	-48382.	401.	8197.	3.	1
44	117	Ru	-59489.865	433.145	8285.562	3.702	0
45	117	Rh	-68897.373	8.892	8359.281	0.076	0
46	117	Pd	-76424.477	7.252	8416.929	0.062	0
47	117	Ag	-82182.014	13.572	8459.452	0.116	0
48	117	Cd	-86418.389	1.013	8488.973	0.009	0
49	117	In	-88943.042	4.881	8503.865	0.042	0
50	117	Sn	-90397.751	0.483	8509.611	0.004	0
51	117	Sb	-88639.539	8.437	8487.897	0.072	0
52	117	Te	-85095.411	13.456	8450.919	0.115	0
53	117	I	-80436.077	26.196	8404.409	0.224	0
54	117	Xe	-74185.337	10.378	8344.297	0.089	0
55	117	Cs	-66493.092	62.410	8271.864	0.533	0
56	117	Ba	-57457.753	250.340	8187.953	2.140	0
57	117	La	-46471.	200.	8087.	2.	1
42	118	Mo	-32630.	500.	8069.	4.	1
43	118	Tc	-43790.	401.	8157.	3.	1
44	118	Ru	-57260.	200.	8265.	2.	1
45	118	Rh	-64887.460	24.235	8322.858	0.205	0
46	118	Pd	-75388.746	2.491	8405.222	0.021	0
47	118	Ag	-79553.792	2.515	8433.889	0.021	0
48	118	Cd	-86701.641	20.001	8487.834	0.169	0
49	118	In	-87228.211	7.752	8485.667	0.066	0
50	118	Sn	-91652.853	0.499	8516.533	0.004	0
51	118	Sb	-87996.213	3.016	8478.915	0.026	0
52	118	Te	-87696.584	18.481	8469.746	0.157	0
53	118	I	-80971.048	19.760	8406.120	0.167	0
54	118	Xe	-78079.057	10.378	8374.981	0.088	0
55	118	Cs	-68409.367	12.753	8286.404	0.108	0
56	118	Ba	-62354.	196.	8228.	2.	1
57	118	La	-49560.	300.	8113.	3.	1
43	119	Tc	-40371.	503.	8128.	4.	1
44	119	Ru	-52564.	298.	8224.	3.	1
45	119	Rh	-62822.794	9.315	8303.394	0.078	0
46	119	Pd	-71407.902	8.245	8368.964	0.069	0
47	119	Ag	-78645.765	14.703	8423.212	0.124	0
48	119	Cd	-83977.068	37.695	8461.438	0.317	0
49	119	In	-87699.281	7.307	8486.143	0.061	0
50	119	Sn	-90065.022	0.725	8499.449	0.006	0
51	119	Sb	-89474.180	7.701	8487.910	0.065	0
52	119	Te	-87181.180	7.957	8462.066	0.067	0
53	119	I	-83765.530	27.945	8426.789	0.235	0
54	119	Xe	-78794.413	10.378	8378.441	0.087	0
55	119	Cs	-72305.051	13.940	8317.334	0.117	0
56	119	Ba	-64590.086	200.269	8245.928	1.683	0
57	119	La	-54790.	300.	8157.	3.	1
58	119	Ce	-43940.	500.	8059.	4.	1
43	120	Tc	-35518.	503.	8087.	4.	1
44	120	Ru	-50012.	401.	8201.	3.	1
45	120	Rh	-58815.	196.	8268.	2.	1
46	120	Pd	-70280.050	2.291	8357.085	0.019	0
47	120	Ag	-75651.502	4.471	8395.327	0.037	0
48	120	Cd	-83957.354	3.726	8458.023	0.031	0
49	120	In	-85728.369	40.010	8466.262	0.333	0
50	120	Sn	-91098.369	0.896	8504.492	0.007	0
51	120	Sb	-88417.761	7.196	8475.635	0.060	0
52	120	Te	-89367.987	3.085	8477.034	0.026	0
53	120	I	-83752.987	15.314	8423.722	0.128	0
54	120	Xe	-82172.423	11.817	8404.031	0.098	0
55	120	Cs	-73888.639	9.970	8328.480	0.083	0
56	120	Ba	-68888.639	300.166	8280.294	2.501	0
57	120	La	-57570.	300.	8179.	2.	1
58	120	Ce	-49600.	500.	8107.	4.	1
43	121	Tc	-31780.	500.	8056.	4.	1
44	121	Ru	-45047.	401.	8159.	3.	1
45	121	Rh	-56250.128	619.444	8245.239	5.119	0
46	121	Pd	-66182.329	3.353	8320.858	0.028	0
47	121	Ag	-74402.821	12.109	8382.330	0.100	0
48	121	Cd	-81073.826	1.942	8430.996	0.016	0
49	121	In	-85835.974	27.414	8463.887	0.227	0
50	121	Sn	-89197.265	0.955	8485.201	0.008	0
51	121	Sb	-89600.321	2.582	8482.066	0.021	0
52	121	Te	-88545.502	25.850	8466.883	0.214	0
53	121	I	-86251.449	5.356	8441.458	0.044	0
54	121	Xe	-82480.986	10.243	8403.832	0.085	0
55	121	Cs	-77102.331	14.290	8352.914	0.118	0
56	121	Ba	-70744.837	141.898	8293.907	1.173	0
57	121	La	-62190.	300.	8217.	2.	1
58	121	Ce	-52690.	401.	8132.	3.	1
59	121	Pr	-41422.	500.	8032.	4.	1
44	122	Ru	-42150.	500.	8135.	4.	1
45	122	Rh	-52080.	300.	8210.	2.	1
46	122	Pd	-64616.161	19.561	8305.975	0.160	0
47	122	Ag	-71106.108	38.191	8352.758	0.313	0
48	122	Cd	-80612.374	2.299	8424.266	0.019	0
49	122	In	-83572.741	50.057	8442.118	0.410	0
50	122	Sn	-89941.333	2.395	8487.907	0.020	0
51	122	Sb	-88335.370	2.578	8468.331	0.021	0
52	122	Te	-90314.460	1.507	8478.140	0.012	0
53	122	I	-86080.460	5.222	8437.023	0.043	0
54	122	Xe	-85354.977	11.111	8424.664	0.091	0
55	122	Cs	-78144.759	33.687	8359.151	0.276	0
56	122	Ba	-74608.944	27.945	8323.756	0.229	0
57	122	La	-64543.	298.	8235.	2.	1
58	122	Ce	-57874.	401.	8174.	3.	1
59	122	Pr	-44780.	500.	8060.	4.	1
44	123	Ru	-37080.	500.	8093.	4.	1
45	123	Rh	-49360.	400.	8186.	3.	1
46	123	Pd	-60429.742	789.441	8270.031	6.418	0
47	123	Ag	-69548.078	30.739	8337.803	0.250	0
48	123	Cd	-77414.181	2.696	8395.395	0.022	0
49	123	In	-83430.353	19.827	8437.946	0.161	0
50	123	Sn	-87816.181	2.416	8467.243	0.020	0
51	123	Sb	-89224.069	1.506	8472.328	0.012	0
52	123	Te	-89172.156	1.505	8465.546	0.012	0
53	123	I	-87943.727	3.740	8449.198	0.030	0
54	123	Xe	-85248.701	9.537	8420.927	0.078	0
55	123	Cs	-81043.646	12.109	8380.379	0.098	0
56	123	Ba	-75654.953	12.109	8330.208	0.098	0
57	123	La	-68651.	196.	8267.	2.	1
58	123	Ce	-60286.	298.	8193.	2.	1
59	123	Pr	-50230.	400.	8104.	3.	1
44	124	Ru	-33960.	600.	8068.	5.	1
45	124	Rh	-44890.	400.	8149.	3.	1
46	124	Pd	-58390.	298.	8252.	2.	1
47	124	Ag	-66200.134	251.503	8308.655	2.028	0
48	124	Cd	-76701.672	2.995	8387.035	0.024	0
49	124	In	-80870.201	30.572	8414.343	0.247	0
50	124	Sn	-88234.193	1.014	8467.421	0.008	0
51	124	Sb	-87620.248	1.507	8456.160	0.012	0
52	124	Te	-90525.321	1.502	8473.279	0.012	0
53	124	I	-87365.734	2.390	8441.489	0.019	0
54	124	Xe	-87661.421	1.793	8437.565	0.014	0
55	124	Cs	-81731.334	8.304	8383.432	0.067	0
56	124	Ba	-79089.775	12.497	8355.820	0.101	0
57	124	La	-70258.610	56.669	8278.292	0.457	0
58	124	Ce	-64916.	298.	8229.	2.	1
59	124	Pr	-53151.	401.	8128.	3.	1
60	124	Nd	-44525.	503.	8052.	4.	1
45	125	Rh	-42000.	500.	8126.	4.	1
46	125	Pd	-54120.	400.	8216.	3.	1
47	125	Ag	-64519.932	433.145	8293.314	3.465	0
48	125	Cd	-73348.095	2.885	8357.681	0.023	0
49	125	In	-80476.805	27.023	8408.452	0.216	0
50	125	Sn	-85896.376	1.033	8445.550	0.008	0
51	125	Sb	-88256.274	2.599	8458.170	0.021	0
52	125	Te	-89022.974	1.502	8458.045	0.012	0
53	125	I	-88837.204	1.504	8450.300	0.012	0
54	125	Xe	-87193.381	1.836	8430.890	0.015	0
55	125	Cs	-84087.950	7.744	8399.788	0.062	0
56	125	Ba	-79668.965	10.992	8358.178	0.088	0
57	125	La	-73759.484	25.997	8304.643	0.208	0
58	125	Ce	-66658.	196.	8242.	2.	1
59	125	Pr	-57940.	300.	8166.	2.	1
60	125	Nd	-47599.	401.	8077.	3.	1
45	126	Rh	-37300.	500.	8088.	4.	1
46	126	Pd	-51860.	400.	8197.	3.	1
47	126	Ag	-60680.	200.	8261.	2.	1
48	126	Cd	-72256.802	2.476	8346.747	0.020	0
49	126	In	-77772.908	26.921	8384.317	0.214	0
50	126	Sn	-86015.240	10.447	8443.523	0.083	0
51	126	Sb	-86393.240	31.767	8440.314	0.252	0
52	126	Te	-90065.348	1.504	8463.248	0.012	0
53	126	I	-87911.318	3.809	8439.944	0.030	0
54	126	Xe	-89146.962	3.500	8443.541	0.028	0
55	126	Cs	-84350.829	10.401	8399.268	0.083	0
56	126	Ba	-82669.902	12.497	8379.718	0.099	0
57	126	La	-74973.468	90.508	8312.426	0.718	0
58	126	Ce	-70820.558	27.945	8273.257	0.222	0
59	126	Pr	-60324.	196.	8184.	2.	1
60	126	Nd	-52993.	298.	8119.	2.	1
61	126	Pm	-39350.	500.	8005.	4.	1
45	127	Rh	-34030.	600.	8062.	5.	1
46	127	Pd	-47180.	500.	8159.	4.	1
47	127	Ag	-58440.	200.	8242.	2.	1
48	127	Cd	-68747.402	12.109	8316.945	0.095	0
49	127	In	-76896.184	21.157	8374.949	0.167	0
50	127	Sn	-83470.803	10.057	8420.557	0.079	0
51	127	Sb	-86699.477	5.126	8439.820	0.040	0
52	127	Te	-88281.678	1.514	8446.118	0.012	0
53	127	I	-88983.909	3.647	8445.487	0.029	0
54	127	Xe	-88321.560	4.110	8434.111	0.032	0
55	127	Cs	-86240.154	5.578	8411.562	0.044	0
56	127	Ba	-82817.944	11.357	8378.455	0.089	0
57	127	La	-77896.108	26.000	8333.540	0.205	0
58	127	Ce	-71979.336	28.876	8280.791	0.227	0
59	127	Pr	-64543.	196.	8216.	2.	1
60	127	Nd	-55536.	298.	8139.	2.	1
61	127	Pm	-44786.	401.	8048.	3.	1
46	128	Pd	-44490.	500.	8138.	4.	1
